sku,name,on_web,soh_web,price,petrie,bunda,con,franklin,web,total,is_deleted_minfos,is_deleted,is_visible,is_retired,num_tiggles,bcid
5055918640454,PUSHEEN - STATIONERY SET,FALSE,0,14.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399094967,PUSHEEN - PLUSH POTATO CHIPS 24CM,FALSE,0,49.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
778988475058,PUSHEEN - ON COUCH BOXED SET,FALSE,0,66.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055918644407,PUSHEEN - SD NOTEBOOK SQ SML,FALSE,0,9.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
45544954440,\EASTER19 PUSHEEN TIN EGG ORMNT BUNNY,FALSE,0,7.95,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,0,
45544924801,\XMAS19 PUSHEEN ORNAMENT DETECTIVE,FALSE,0,19.95,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,0,
778988421659,PUSHEEN - SQUISHEEN DREAMY PUSHEENICORN,FALSE,0,49.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399107964,PUSHEEN - PUSHEENICORN SLIPPERS,FALSE,0,59.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399106028,PUSHEEN - INTERACTV SUPER PUSHEENICORN,FALSE,0,79.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055918650477,PUSHEEN DESSERT EYE MASK,FALSE,0,14.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399073825,PUSHEEN - WITH DONUT 24CM,FALSE,0,44.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399082308,PUSHEEN - BIRTHDAY 26.5CM,FALSE,0,49.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055071770180,PUSHEEN - COMPACT MIRROR ASST,FALSE,0,6.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
778988395998,PUSHEEN - SQUISHEEN CINNAMON ROLL 24CM,FALSE,0,64.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
778988475119,PUSHEEN - SUPER PUSHEENUNICORN SQUEEZE,FALSE,0,66.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055918626106,PUSHEEN - BACKPACK PLUSH,FALSE,0,39.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399094837,PUSHEEN - STORMY PLUSH SML 11CM,FALSE,0,19.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
778988485644,PUSHEEN - ROLL CAKE SQUISHY,FALSE,0,29.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
778988414040,PUSHEEN - PUSHEENICORN SUPER SITTING,FALSE,0,34.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399121663,PUSHEEN - BLIND BOX SERIES 11 - WINTER W,FALSE,0,17.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
45544953139,PUSHEEN - SNACK BOWL,FALSE,0,29.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055918658534,PUSHEEN - SIPS STATIONERY FILLED POUCH,FALSE,0,26.95,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,
28399121557,PUSHEEN - PUSHEENOSAURUS WITH EGG GRN,FALSE,0,26.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
778988395967,PUSHEEN - RAINBOW OMBRE 24CM,FALSE,0,59.95,0,0,0,1,0,1,FALSE,FALSE,FALSE,FALSE,0,
778988317006,PUSHEEN - PUSHEEN RAINBOW 24CM,FALSE,0,54.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055918640546,PUSHEEN - BACKPACK W/POCKET PNK,FALSE,0,44.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055918644421,PUSHEEN - SD PENCIL ERASER TOP X12,FALSE,0,3.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399121595,PUSHEEN - PUSHEENOSAURUS SBRRY BANANA,FALSE,0,49.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055071770340,PUSHEEN - REUSEABLE SHOPPING BAG,FALSE,0,9.95,5,0,0,0,0,5,FALSE,FALSE,FALSE,FALSE,0,
28399107926,\XMAS18 - PUSHEEN WREATH,FALSE,0,39.95,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,0,
778988326466,PUSHEEN - PUSHEEN & BO BEST FRIEND SET,FALSE,0,54.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399108060,\XMAS18 - PUSHEEN SNOWMAN TOP HAT SCARF,FALSE,0,22.95,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,0,
5055918649310,PUSHEEN - HEADBAND CUTE & FIERCE,FALSE,0,17.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399121533,PUSHEEN - BACKPACK PUSHEENICORN,FALSE,0,59.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055918644414,PUSHEEN - SD PEN POMPOM X12,FALSE,0,5.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
778988326435,PUSHEEN SQUISHEEN DONUT 30CM,FALSE,0,69.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399073849,PUSHEEN - PASTEL PLUSH PINK SM 15CM,FALSE,0,22.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399094851,PUSHEEN - PIZZA PLUSH 24CM,FALSE,0,44.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399086733,PUSHEEN - SNACKABLE PLUSH CHRISTMAS,FALSE,0,44.95,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,
778988482445,PUSHEEN - BIRTHDAY 24CM,FALSE,0,59.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5060491773833,PUSHEEN - SOCK IN A MUG MARSHMALLOW,FALSE,0,34.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055918640560,PUSHEEN - TOTE BAG WELL READ,FALSE,0,19.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055918640577,PUSHEEN - UMBRELLA,FALSE,0,29.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055918613274,PUSHEEN - PURSE,FALSE,0,14.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399108091,PUSHEEN - PUSHEENICORN SOUND MINT,FALSE,0,29.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055918640423,PUSHEEN - GEL PEN SET,FALSE,0,8.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399086740,PUSHEEN - PUSHEENOSAURUS 33CM,FALSE,0,44.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
